web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_count,vote_average,genres,spoken_languages,production_countries
https://www.nytimes.com/2022/04/28/movies/anais-in-love-review.html,"A restless woman discovers herself in a seductive French romance that throws out the usual dusty script about women, desire and pleasure.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bourgeois-Tacquet, Charline', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Anais in Love (Movie)', 'rank': 3, 'major': 'N'}]",2022-04-28T16:18:57+0000,842,‘Anaïs in Love’ Review: Portrait of a Woman on the Run,Critic’s Pick,,Portrait of a Restless Heart,,,,By Manohla Dargis,,Anaïs in Love,Les Amours d’Anaïs,0,fr,,A young woman struggling to stay on top of everything in her life meets a married publisher and begins an affair with him.,17.962,17.962,41356,2021-09-15,142,6.25,"Drama, Romance, Comedy","French, English",France
https://www.nytimes.com/2022/04/28/movies/i-love-america-review.html,The determinedly uplifting comedy follows a 50-year-old French filmmaker as she dates in Los Angeles.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Marceau, Sophie', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'I Love America (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Azuelos, Lisa', 'rank': 4, 'major': 'N'}]",2022-04-28T11:00:07+0000,291,‘I Love America’ Review: The Gauche Rituals of Modern Romance,,,I Love America,,,,By Nicolas Rapold,,I Love America,I Love America,0,fr,,"A single woman who decides to take a chance on love again by catapulting her life from Paris to Los Angeles. From awkward dates to touching surprise encounters, she understands the journey to love is a journey towards herself.",13.49,13.49,0,2022-03-11,75,5.107,"Comedy, Romance","French, English, Spanish","United States of America, France"
https://www.nytimes.com/2022/04/18/movies/see-you-then-review.html,"Former lovers reconnect, litigating the past and present, in this drama from Mari Walker.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'See You Then (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Walker, Mari', 'rank': 3, 'major': 'N'}]",2022-04-18T11:00:03+0000,300,‘See You Then’ Review: The More Things Stay the Same,,,The Persistent Melancholy of Love,,,,By Kyle Turner,,See You Then,See You Then,0,en,https://vanishingangle.com/see-you-then,"A decade after abruptly breaking up with Naomi, Kris invites her to a dinner to catch-up on their complicated lives, relationships, and Kris' transition.",1.835,1.835,0,2022-04-01,5,3.3,Drama,English,United States of America
https://www.nytimes.com/2022/04/07/movies/la-mami-review-tough-love.html,This documentary about the den mother of dancers at a Mexico City cabaret is vérité at its best.,The New York Times,"[{'name': 'subject', 'value': 'Documentary Films and Programs', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Women and Girls', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Dancing', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Bars and Nightclubs', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Labor and Jobs', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Mexico City (Mexico)', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Mexico', 'rank': 8, 'major': 'N'}, {'name': 'creative_works', 'value': 'La Mami (Movie)', 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Garvin, Laura Herrero', 'rank': 10, 'major': 'N'}]",2022-04-07T11:00:04+0000,278,‘La Mami’ Review: Tough Love,Critic’s Pick,,La Mami,,,,By Beandrea July,,La Mami,La Mami,0,es,http://gadeafilms.com/la-mami,"One of the rooms inside the legendary Barba Azul Cabaret has become a shelter for the girls working there: the women's bathroom. Every night La Mami, who's in charge of the bathrooms, offers them the warmth and the advice they need to take on the challenge they face in the dance hall.",0.995,0.995,0,2020-01-27,4,6.2,Documentary,Spanish,"Mexico, Spain"
https://www.nytimes.com/2022/03/17/movies/deep-water-review.html,An unhappy husband raises suspicions when his wife’s lovers begin to disappear.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Deep Water (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Affleck, Ben', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Lyne, Adrian', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'de Armas, Ana', 'rank': 5, 'major': 'N'}]",2022-03-17T11:00:05+0000,534,‘Deep Water’ Review: Love and Loathing in New Orleans,,,A Non-Erotic Non-Thriller,,,,By Jeannette Catsoulis,,Deep Water,Deep Water,49000000,en,https://www.hulu.com/movie/deep-water-2c4ae82e-2c1b-41d5-a651-82189d1c8b2c,A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.,65.356,65.356,0,2022-03-18,1308,5.802,"Drama, Mystery, Thriller",English,United States of America
https://www.nytimes.com/2022/03/03/movies/lucy-and-desi-review.html,"This documentary, directed by Amy Poehler and about the dynamic duo behind “I Love Lucy,” favors the good times over the difficult ones.",The New York Times,"[{'name': 'subject', 'value': 'Documentary Films and Programs', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Ball, Lucille', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Arnaz, Desi', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Poehler, Amy', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'Lucy and Desi (Movie)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Television', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Actors and Actresses', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 8, 'major': 'N'}]",2022-03-03T16:06:54+0000,279,‘Lucy and Desi’ Review: Love in the Time of Television,,,Lucy and Desi,,,,By Natalia Winkelman,,Lucy and Desi,Lucy and Desi,0,en,https://www.amazon.com/dp/B09QG6H8D9,Explore the unlikely partnership and enduring legacy of one of the most prolific power couples in entertainment history. Lucille Ball and Desi Arnaz risked everything to be together.,11.589,11.589,0,2022-01-21,37,7.1,Documentary,English,United States of America
https://www.nytimes.com/2022/02/23/movies/cyrano-review.html,Peter Dinklage wields pen and sword in a musical adaptation of the durable French romance.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Cyrano (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Wright, Joe', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Dinklage, Peter', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Bennett, Haley', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Harrison, Kelvin Jr', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Berninger, Matt', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Besser, Carin', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Dessner, Aaron', 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Schmidt, Erica (1975- )', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'National, The (Music Group)', 'rank': 11, 'major': 'N'}]",2022-02-24T00:36:54+0000,845,‘Cyrano’ Review: Who Wrote the Book of Love?,,,Who Gets to Write the Book of Love?,,,,By A.O. Scott,,Cyrano,Cyrano,20000000,en,https://www.unitedartistsreleasing.com/cyrano/synopsis/,"A man ahead of his time, Cyrano de Bergerac dazzles whether with ferocious wordplay at a verbal joust or with brilliant swordplay in a duel. But, convinced that his appearance renders him unworthy of the love of a devoted friend, the luminous Roxanne, Cyrano has yet to declare his feelings for her—and Roxanne has fallen in love, at first sight, with Christian.",35.503,35.503,3000000,2021-12-17,280,6.405,"Drama, Romance",English,"Canada, United Kingdom, United States of America"
https://www.nytimes.com/2022/02/11/movies/the-in-between-review.html,A teenage girl thinks that her dead boyfriend’s spirit is reaching out from the Great Beyond.,The New York Times,"[{'name': 'persons', 'value': 'King, Joey', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Allen, Kyle (1994- )', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Movies', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Posin, Arie', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'The In Between (Movie)', 'rank': 5, 'major': 'N'}]",2022-02-11T08:00:06+0000,285,‘The In Between’ Review: Love Never Dies,,,The In Between,,,,By Lena Wilson,,The In Between,The In Between,0,en,https://www.netflix.com/title/81447264,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",38.176,38.176,0,2022-02-11,689,7.375,"Romance, Science Fiction, Drama",English,United States of America
https://www.nytimes.com/2022/02/04/movies/book-of-love-review.html,"Unbeknown to the author of an uninspired romance novel, the book takes a sharp turn into erotic territory in its Spanish-language release.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Claflin, Sam', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Cal y Mayor, Analeine', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'Book of Love (Movie)', 'rank': 4, 'major': 'N'}]",2022-02-04T05:01:04+0000,269,‘Book of Love’ Review: Lust (Eventually) in Translation,,,Book of Love,,,,By Natalia Winkelman,,Book of Love,Book of Love,0,en,,"Living among fusty academics, an unusual young man gets between a high school history teacher and his wife.",8.797,8.797,0,2004-01-18,25,5.0,Drama,English,United States of America
https://www.nytimes.com/2022/01/13/movies/the-pink-cloud-review.html,Iuli Gerbase’s first feature film reflects a funhouse-mirror image of our present lives.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'The Pink Cloud (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Gerbase, Iuli', 'rank': 3, 'major': 'N'}]",2022-01-13T12:00:05+0000,316,‘The Pink Cloud’ Review: Love in Lockdown,,,The Pink Cloud,,,,By Claire Shaffer,,The Pink Cloud,A Nuvem Rosa,0,pt,,"Giovana and Yago are strangers who share a spark after meeting at a party. When a deadly cloud mysteriously takes over their city, they are forced to seek shelter with only each other for company. As months pass and the planet settles into an extended quarantine, their world shrinks, and they are forced to come to terms with an accelerated timeline for their relationship. With all their other interactions governed by screens, and with the strain of isolation setting in, Giovana and Yago struggle to reinvent themselves and reconcile the differences that threaten to tear them apart.",4.806,4.806,0,2021-04-01,30,6.0,"Drama, Science Fiction",Portuguese,Brazil
